geography,threshold_group,sample_household_months,average_monthly_households,weighted_share_of_estimable_percent,estimable_sample_household_months,estimable_average_monthly_households
Cali A.M.,Carga <= 30%,3281,271092.2035207113,58.01878080449982,5562,467249.0523959544
Cali A.M.,Carga > 30%,2281,196156.84887524316,41.98121919550019,5562,467249.0523959544
Cali A.M.,Carga > 50%,841,73004.99700302791,15.62442911947573,5562,467249.0523959544
Colombia (incluye Cali A.M.),Carga <= 30%,72590,4761101.408097165,58.98895745720538,126134,8071174.018546086
Colombia (incluye Cali A.M.),Carga > 30%,53544,3310072.6104489206,41.01104254279461,126134,8071174.018546086
Colombia (incluye Cali A.M.),Carga > 50%,19901,1185783.978795976,14.691592277297708,126134,8071174.018546086
