geography,education_group,tenure_group,sample_household_months,cell_size_flag,average_monthly_households,valid_income_sample,valid_effective_sample,valid_equivalent_sample,q1_income_per_capita_cop,median_income_per_capita_cop,q3_income_per_capita_cop,q1_effective_payment_cop,median_effective_payment_cop,q3_effective_payment_cop,q1_effective_burden_percent,median_effective_burden_percent,q3_effective_burden_percent,q1_equivalent_cost_cop,median_equivalent_cost_cop,q3_equivalent_cost_cop,q1_equivalent_burden_percent,median_equivalent_burden_percent,q3_equivalent_burden_percent,effective_over_30_percent,equivalent_over_30_percent
Colombia (incluye Cali A.M.),Primaria o menos,Propietarios que pagan su vivienda,1215,adequate,100704.17061628899,1188,1180,1181,400000.0,736750.0,1233333.3333333333,350000.0,540000.0,900000.0,14.285714285714286,28.210526315789473,52.50844123042565,400000.0,600000.0,800000.0,16.544117647058822,26.31578947368421,42.14963119072708,47.21814959990764,42.358896786016295
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,22108,adequate,1351027.9597044426,21687,21662,21662,355750.0,600000.0,1000000.0,300000.0,450000.0,600000.0,18.602540834845733,29.09090909090909,45.662100456621005,300000.0,450000.0,600000.0,18.602540834845733,29.09090909090909,45.662100456621005,47.41460207012833,47.41460207012833
Colombia (incluye Cali A.M.),Primaria o menos,Otras formas de tenencia,29403,adequate,2023302.5307540786,28678,0,28398,200000.0,390000.0,693333.3333333334,,,,,,,150000.0,250000.0,400000.0,14.173228346456694,25.641025641025642,50.63291139240506,,43.80886752088378
Colombia (incluye Cali A.M.),Secundaria y media,Propietarios con vivienda pagada,30243,adequate,1790798.487583971,29539,29539,29272,450000.0,813312.0,1423500.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,600000.0,850000.0,15.692428403295409,25.641025641025642,42.857142857142854,0.0,40.96417724725581
Colombia (incluye Cali A.M.),Secundaria y media,Propietarios que pagan su vivienda,2911,adequate,246336.17976443007,2853,2825,2838,600000.0,1000000.0,1500000.0,418000.0,610000.0,904000.0,13.966480446927374,23.362666458998522,37.71395416304033,600000.0,700000.0,1000000.0,17.197452229299365,26.68801708033093,42.857142857142854,36.623102003515015,41.88783887233194
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,56246,adequate,3627923.9570345706,55287,55248,55248,433333.3333333333,712500.0,1250000.0,400000.0,530000.0,700000.0,18.75,27.77777777777778,41.5,400000.0,530000.0,700000.0,18.75,27.77777777777778,41.5,43.92814489162513,43.92814489162513
Colombia (incluye Cali A.M.),Secundaria y media,Otras formas de tenencia,29797,adequate,1862482.386666873,29127,0,28927,260000.0,490000.0,900000.0,,,,,,,200000.0,350000.0,500000.0,15.0,25.0,45.45454545454545,,41.77173276649487
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Propietarios con vivienda pagada,18846,adequate,1065836.1273182891,18216,18216,18031,925000.0,1666666.6666666667,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,1000000.0,1500000.0,14.860681114551083,24.0,40.0,0.0,37.275466860568336
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Propietarios que pagan su vivienda,3641,adequate,305490.3707773709,3538,3506,3512,1025000.0,1800000.0,3000000.0,600000.0,900000.0,1400000.0,12.660550458715596,19.115585574104752,30.0,700000.0,1000000.0,1500000.0,14.942528735632184,22.641509433962263,33.79256563556018,24.938049801790473,31.31862668555056
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,36071,adequate,2128313.2739757625,35339,35302,35302,725000.0,1311750.0,2150000.0,500000.0,700000.0,1000000.0,17.142857142857142,25.862068965517242,39.285714285714285,500000.0,700000.0,1000000.0,17.142857142857142,25.862068965517242,39.285714285714285,39.875190542303706,39.875190542303706
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Otras formas de tenencia,13816,adequate,683135.6337104198,13384,0,13308,500000.0,996750.0,1733333.3333333333,,,,,,,400000.0,600000.0,900000.0,16.02136181575434,26.666666666666668,48.75,,44.26798161144301
Colombia (incluye Cali A.M.),Postgrado,Propietarios con vivienda pagada,6110,adequate,384262.2505991397,5863,5863,5812,2402083.3333333335,3900000.0,6200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1500000.0,2800000.0,10.909090909090908,18.095238095238095,29.821073558648113,0.0,24.063451052421698
Colombia (incluye Cali A.M.),Postgrado,Propietarios que pagan su vivienda,1668,adequate,157397.6373562122,1612,1597,1598,2533333.3333333335,4550000.0,7409166.666666667,1100000.0,1800000.0,2600000.0,10.588235294117647,16.39344262295082,25.0,1200000.0,1800000.0,2800000.0,11.636992336209333,17.427385892116185,25.0,15.251139821802337,17.667100818803835
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,4988,adequate,370628.69439997774,4816,4814,4814,2245333.3333333335,3771000.0,6250000.0,800000.0,1300000.0,2100000.0,12.129088152479966,17.857142857142858,26.262626262626263,800000.0,1300000.0,2100000.0,12.129088152479966,17.857142857142858,26.262626262626263,19.690225121050506,19.690225121050506
Colombia (incluye Cali A.M.),Postgrado,Otras formas de tenencia,1794,adequate,83662.1564489615,1733,0,1716,1520000.0,2666666.6666666665,4500000.0,,,,,,,600000.0,1000000.0,1700000.0,11.954237440280433,20.0,33.898305084745765,,30.830293935009248
