geography,education_group,reference_group,comparison_group,metric,unit,reference_value,comparison_value,absolute_gap,relative_gap_percent
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,1400000.0,2000000.0,-600000.0,-30.0
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,770000.0,1000000.0,-230000.0,-23.0
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,25.0,17.601999239419786,7.398000760580214,42.029320987654316
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,25.0,21.67300380228137,3.3269961977186284,15.350877192982441
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,1400000.0,1250000.0,150000.0,12.0
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,25.0,29.166666666666668,-4.166666666666668,-14.28571428571429
Cali A.M.,Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,3583333.3333333335,4000000.0,-416666.6666666665,-10.416666666666663
Cali A.M.,Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,1200000.0,0.0,1200000.0,
Cali A.M.,Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,16.666666666666668,0.0,16.666666666666668,
Cali A.M.,Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,16.666666666666668,16.3265306122449,0.34013605442176953,2.0833333333333384
Cali A.M.,Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,3583333.3333333335,4095833.3333333335,-512500.0,-12.512716174974567
Cali A.M.,Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,1200000.0,1400000.0,-200000.0,-14.285714285714286
Cali A.M.,Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,16.666666666666668,16.071428571428573,0.5952380952380949,3.703703703703701
Cali A.M.,Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,16.666666666666668,16.3265306122449,0.34013605442176953,2.0833333333333384
Cali A.M.,Postgrado,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,3583333.3333333335,2266666.6666666665,1316666.666666667,58.088235294117666
Cali A.M.,Postgrado,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,16.666666666666668,25.49019607843137,-8.823529411764703,-34.615384615384606
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,855875.0,836500.0,19375.0,2.3161984459055587
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,600000.0,0.0,600000.0,
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,26.704146170063247,0.0,26.704146170063247,
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,26.704146170063247,25.0,1.7041461700632468,6.816584680252987
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,855875.0,1475000.0,-619125.0,-41.97457627118644
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,600000.0,800000.0,-200000.0,-25.0
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,26.704146170063247,20.333333333333332,6.370812836729915,31.331866410147125
Colombia (incluye Cali A.M.),General,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,26.704146170063247,22.857142857142858,3.847003312920389,16.830639494026702
Colombia (incluye Cali A.M.),General,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,855875.0,488000.0,367875.0,75.38422131147541
Colombia (incluye Cali A.M.),General,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,26.704146170063247,25.53191489361702,1.172231276446226,4.591239166081052
